           time           x_01           y_01           x_02           y_02           x_03           y_03           x_04           y_04           x_05           y_05           x_06           y_06           x_07           y_07           x_08           y_08
    3.75977E-01   -5.52144E-02    3.34422E-02   -3.94502E-02    9.26975E-02    2.98595E-01    4.26009E-02   -3.01568E-01   -6.50516E-01    2.97219E-02    4.51442E-01   -1.64853E-02   -2.91178E-01   -3.74516E-01   -3.54198E-01    3.03677E-01   -7.54218E-02
    3.80859E-01   -6.01299E-02    3.40490E-02   -7.83740E-02    1.74376E-01    2.59492E-01   -1.45848E-01   -1.01857E-01   -5.18152E-01    1.01709E-01    4.16447E-01   -1.01103E-02   -2.17500E-01   -4.63533E-01   -1.71310E-01    2.25254E-01    1.34723E-01
    3.85742E-01   -6.52389E-02    3.47542E-02   -1.17187E-01    2.56962E-01    2.19187E-01   -3.34668E-01    9.85944E-02   -3.83117E-01    1.74351E-01    3.79659E-01   -3.73088E-03   -1.44052E-01   -5.51192E-01    1.31534E-02    1.45565E-01    3.46324E-01
    3.90625E-01   -7.10986E-02    3.63327E-02   -1.46324E-01    3.27842E-01    1.81636E-01   -4.81455E-01    2.54938E-01   -2.64824E-01    2.35152E-01    3.41543E-01    1.03953E-03   -9.21514E-02   -6.10869E-01    1.63267E-01    7.74795E-02    5.18605E-01
    3.95508E-01   -7.81297E-02    3.93876E-02   -1.58201E-01    3.76932E-01    1.50025E-01   -5.52549E-01    3.31582E-01   -1.78781E-01    2.74148E-01    3.02535E-01    2.92272E-03   -7.86541E-02   -6.21490E-01    2.50466E-01    3.12564E-02    6.19121E-01
    4.00391E-01   -8.65091E-02    4.42128E-02   -1.48820E-01    3.98745E-01    1.26134E-01   -5.30139E-01    3.09713E-01   -1.33392E-01    2.85973E-01    2.63008E-01    1.24814E-03   -1.12337E-01   -5.72032E-01    2.59534E-01    1.24158E-02    6.30550E-01
    4.05273E-01   -9.61122E-02    5.07193E-02   -1.18623E-01    3.93487E-01    1.09995E-01   -4.16037E-01    1.91296E-01   -1.28261E-01    2.70952E-01    2.23252E-01   -3.90260E-03   -1.91981E-01   -4.63907E-01    1.91788E-01    2.06079E-02    5.54288E-01
    4.10156E-01   -1.06520E-01    5.84435E-02   -7.24113E-02    3.66959E-01    9.99287E-02   -2.31321E-01   -1.31363E-03   -1.54352E-01    2.35001E-01    1.83477E-01   -1.17097E-02   -3.06552E-01   -3.10741E-01    6.47751E-02    4.97192E-02    4.10118E-01
    4.15039E-01   -1.17087E-01    6.66330E-02   -1.83469E-02    3.29276E-01    9.29319E-02   -1.19126E-02   -2.30042E-01   -1.95967E-01    1.88349E-01    1.43823E-01   -2.07846E-02   -4.37460E-01   -1.35564E-01   -9.14479E-02    8.91927E-02    2.31992E-01
    4.19922E-01   -1.27059E-01    7.43946E-02    3.37576E-02    2.92677E-01    8.53489E-02    1.98962E-01   -4.49085E-01   -2.34124E-01    1.43344E-01    1.04398E-01   -2.94590E-02   -5.62400E-01    3.39682E-02   -2.40668E-01    1.26284E-01    6.08357E-02
    4.24805E-01   -1.35710E-01    8.08712E-02    7.44923E-02    2.68897E-01    7.36788E-02    3.59855E-01   -6.14528E-01   -2.50635E-01    1.11827E-01    6.53096E-02   -3.61334E-02   -6.59983E-01    1.71333E-01   -3.48167E-01    1.48777E-01   -6.41127E-02
    4.29688E-01   -1.42481E-01    8.54121E-02    9.68212E-02    2.66637E-01    5.53493E-02    4.39809E-01   -6.93558E-01   -2.32003E-01    1.02602E-01    2.67052E-02   -3.96105E-02   -7.14175E-01    2.56660E-01   -3.88057E-01    1.47589E-01   -1.13611E-01
    4.34570E-01   -1.47075E-01    8.76999E-02    9.75529E-02    2.89679E-01    2.92938E-02    4.24848E-01   -6.71352E-01   -1.72338E-01    1.19552E-01   -1.12047E-02   -3.93449E-02   -7.17610E-01    2.80852E-01   -3.48757E-01    1.18713E-01   -7.46124E-02
